#                American
#   Year   Month     SSN
    1954       4     0.6
    1954       5     0.2
    1954       6     0.2
    1954       7     2.1
    1954       8     8.1
    1954       9     0.3
    1954      10     4.7
    1954      11     8.0
    1954      12     7.7
    1955       1    23.3
    1955       2    22.6
    1955       3     4.7
    1955       4     9.7
    1955       5    24.7
    1955       6    23.4
    1955       7    23.2
    1955       8    36.8
    1955       9    40.7
    1955      10    56.5
    1955      11    82.0
    1955      12    67.5
    1956       1    67.2
    1956       2   106.4
    1956       3   105.9
    1956       4   102.4
    1956       5   117.3
    1956       6   106.0
    1956       7   117.9
    1956       8   155.7
    1956       9   159.5
    1956      10   139.9
    1956      11   173.1
    1956      12   159.8
    1957       1   129.1
    1957       2   107.2
    1957       3   133.5
    1957       4   161.2
    1957       5   151.5
    1957       6   181.6
    1957       7   160.4
    1957       8   139.7
    1957       9   207.2
    1957      10   229.2
    1957      11   191.3
    1957      12   227.9
    1958       1   199.2
    1958       2   141.9
    1958       3   187.0
    1958       4   179.7
    1958       5   171.9
    1958       6   152.1
    1958       7   178.2
    1958       8   192.0
    1958       9   198.4
    1958      10   165.9
    1958      11   126.7
    1958      12   172.5
    1959       1   199.3
    1959       2   118.9
    1959       3   158.3
    1959       4   150.4
    1959       5   139.6
    1959       6   150.7
    1959       7   141.6
    1959       8   179.8
    1959       9   136.4
    1959      10   112.7
    1959      11   122.3
    1959      12   129.9
    1960       1   146.1
    1960       2   103.3
    1960       3    93.0
    1960       4   110.9
    1960       5   104.1
    1960       6    99.2
    1960       7   107.6
    1960       8   120.0
    1960       9   114.8
    1960      10    72.7
    1960      11    78.8
    1960      12    74.8
    1961       1    46.3
    1961       2    36.5
    1961       3    46.3
    1961       4    57.7
    1961       5    40.9
    1961       6    65.3
    1961       7    59.8
    1961       8    42.0
    1961       9    51.4
    1961      10    28.8
    1961      11    27.2
    1961      12    34.0
    1962       1    29.7
    1962       2    41.2
    1962       3    34.0
    1962       4    38.7
    1962       5    34.8
    1962       6    32.5
    1962       7    15.6
    1962       8    14.8
    1962       9    41.4
    1962      10    34.8
    1962      11    22.6
    1962      12    17.6
    1963       1    14.7
    1963       2    19.1
    1963       3    12.8
    1963       4    23.9
    1963       5    36.8
    1963       6    29.4
    1963       7    15.7
    1963       8    26.7
    1963       9    31.2
    1963      10    28.4
    1963      11    19.2
    1963      12     8.2
    1964       1    11.6
    1964       2    14.4
    1964       3    11.1
    1964       4     4.8
    1964       5     6.8
    1964       6     6.1
    1964       7     2.2
    1964       8     7.8
    1964       9     2.1
    1964      10     3.7
    1964      11     5.3
    1964      12    13.4
    1965       1    15.6
    1965       2    13.3
    1965       3     9.1
    1965       4     6.4
    1965       5    17.7
    1965       6    11.4
    1965       7     7.7
    1965       8     4.5
    1965       9    15.0
    1965      10    15.6
    1965      11    14.2
    1965      12    14.3
    1966       1    20.9
    1966       2    22.8
    1966       3    19.4
    1966       4    34.6
    1966       5    30.5
    1966       6    36.6
    1966       7    47.2
    1966       8    46.1
    1966       9    40.9
    1966      10    50.6
    1966      11    50.0
    1966      12    64.3
    1967       1   101.4
    1967       2    85.6
    1967       3   105.0
    1967       4    61.9
    1967       5    87.2
    1967       6    62.3
    1967       7    82.4
    1967       8    96.7
    1967       9    68.5
    1967      10    84.2
    1967      11    82.6
    1967      12   117.2
    1968       1   113.5
    1968       2    99.2
    1968       3    80.6
    1968       4    67.0
    1968       5   124.3
    1968       6   101.8
    1968       7    90.2
    1968       8    99.5
    1968       9   113.0
    1968      10    99.4
    1968      11    79.0
    1968      12   102.4
    1969       1   103.5
    1969       2   113.3
    1969       3   134.0
    1969       4   102.4
    1969       5   120.9
    1969       6   105.5
    1969       7    92.5
    1969       8    96.3
    1969       9    88.9
    1969      10    96.4
    1969      11    94.7
    1969      12   106.7
    1970       1   113.7
    1970       2   132.2
    1970       3    98.3
    1970       4   104.1
    1970       5   124.3
    1970       6   101.3
    1970       7   114.0
    1970       8    98.1
    1970       9   106.6
    1970      10    98.1
    1970      11   107.5
    1970      12    90.4
    1971       1    90.8
    1971       2    77.8
    1971       3    61.1
    1971       4    74.9
    1971       5    54.6
    1971       6    44.9
    1971       7    83.0
    1971       8    60.2
    1971       9    50.3
    1971      10    52.3
    1971      11    64.9
    1971      12    83.0
    1972       1    60.9
    1972       2    87.0
    1972       3    80.8
    1972       4    62.7
    1972       5    75.7
    1972       6    81.7
    1972       7    74.5
    1972       8    73.8
    1972       9    66.2
    1972      10    63.0
    1972      11    39.4
    1972      12    42.3
    1973       1    38.8
    1973       2    40.5
    1973       3    44.9
    1973       4    56.4
    1973       5    39.5
    1973       6    37.9
    1973       7    20.8
    1973       8    25.5
    1973       9    61.3
    1973      10    30.0
    1973      11    24.2
    1973      12    20.5
    1974       1    27.4
    1974       2    25.2
    1974       3    19.1
    1974       4    36.6
    1974       5    36.7
    1974       6    32.6
    1974       7    50.0
    1974       8    32.7
    1974       9    39.6
    1974      10    48.4
    1974      11    21.3
    1974      12    18.5
    1975       1    16.7
    1975       2    11.2
    1975       3    10.3
    1975       4     4.0
    1975       5     7.3
    1975       6    10.3
    1975       7    28.5
    1975       8    39.1
    1975       9    11.9
    1975      10     8.1
    1975      11    18.8
    1975      12     6.6
    1976       1     8.3
    1976       2     3.8
    1976       3    21.1
    1976       4    16.9
    1976       5    11.2
    1976       6    10.9
    1976       7     1.4
    1976       8    13.7
    1976       9    12.8
    1976      10    19.1
    1976      11     4.3
    1976      12    15.5
    1977       1    15.5
    1977       2    23.0
    1977       3     8.0
    1977       4    10.7
    1977       5    16.0
    1977       6    34.4
    1977       7    18.3
    1977       8    27.6
    1977       9    41.9
    1977      10    45.5
    1977      11    28.4
    1977      12    42.8
    1978       1    48.8
    1978       2    90.9
    1978       3    73.9
    1978       4    97.5
    1978       5    79.6
    1978       6    88.0
    1978       7    58.1
    1978       8    48.1
    1978       9   128.1
    1978      10   116.0
    1978      11    92.8
    1978      12   121.0
    1979       1   164.4
    1979       2   136.8
    1979       3   132.5
    1979       4    95.8
    1979       5   121.8
    1979       6   136.4
    1979       7   140.5
    1979       8   125.1
    1979       9   184.0
    1979      10   178.2
    1979      11   176.5
    1979      12   157.6
    1980       1   146.7
    1980       2   131.0
    1980       3   111.0
    1980       4   148.7
    1980       5   176.5
    1980       6   158.8
    1980       7   144.7
    1980       8   134.5
    1980       9   151.4
    1980      10   163.0
    1980      11   155.6
    1980      12   166.9
    1981       1   115.4
    1981       2   143.7
    1981       3   149.2
    1981       4   169.2
    1981       5   141.3
    1981       6    99.0
    1981       7   154.3
    1981       8   170.4
    1981       9   174.5
    1981      10   157.0
    1981      11   138.8
    1981      12   145.0
    1982       1   110.4
    1982       2   161.0
    1982       3   155.5
    1982       4   121.9
    1982       5    82.6
    1982       6   113.5
    1982       7   103.5
    1982       8   110.5
    1982       9   117.8
    1982      10    90.1
    1982      11    93.2
    1982      12   121.7
    1983       1    82.8
    1983       2    53.4
    1983       3    60.5
    1983       4    74.5
    1983       5    97.7
    1983       6    93.1
    1983       7    82.2
    1983       8    69.2
    1983       9    47.4
    1983      10    52.3
    1983      11    30.2
    1983      12    32.3
    1984       1    54.4
    1984       2    81.5
    1984       3    83.0
    1984       4    66.5
    1984       5    72.1
    1984       6    45.2
    1984       7    36.2
    1984       8    24.5
    1984       9    13.6
    1984      10     9.8
    1984      11    19.4
    1984      12    17.0
    1985       1    14.5
    1985       2    16.3
    1985       3    11.8
    1985       4    17.1
    1985       5    24.0
    1985       6    22.2
    1985       7    30.8
    1985       8    10.7
    1985       9     3.4
    1985      10    16.5
    1985      11    16.4
    1985      12    10.1
    1986       1     2.3
    1986       2    23.8
    1986       3    12.5
    1986       4    13.8
    1986       5    11.6
    1986       6     0.8
    1986       7    17.7
    1986       8     7.6
    1986       9     3.5
    1986      10    19.8
    1986      11    14.4
    1986      12     5.1
    1987       1     9.4
    1987       2     3.0
    1987       3    13.3
    1987       4    39.4
    1987       5    30.7
    1987       6    18.0
    1987       7    34.3
    1987       8    39.0
    1987       9    34.0
    1987      10    55.8
    1987      11    42.5
    1987      12    26.7
    1988       1    56.8
    1988       2    39.1
    1988       3    77.5
    1988       4    90.9
    1988       5    64.7
    1988       6   106.4
    1988       7   108.7
    1988       8   111.2
    1988       9   122.2
    1988      10   126.0
    1988      11   125.3
    1988      12   179.2
    1989       1   159.1
    1989       2   163.9
    1989       3   139.8
    1989       4   131.6
    1989       5   156.4
    1989       6   217.5
    1989       7   133.8
    1989       8   173.5
    1989       9   177.6
    1989      10   161.0
    1989      11   172.9
    1989      12   161.6
    1990       1   177.6
    1990       2   134.6
    1990       3   145.0
    1990       4   144.3
    1990       5   132.5
    1990       6   112.8
    1990       7   143.2
    1990       8   193.5
    1990       9   125.6
    1990      10   150.1
    1990      11   133.6
    1990      12   145.9
    1991       1   140.7
    1991       2   171.8
    1991       3   147.7
    1991       4   135.7
    1991       5   119.4
    1991       6   158.3
    1991       7   166.3
    1991       8   171.9
    1991       9   120.7
    1991      10   146.1
    1991      11   109.9
    1991      12   144.2
    1992       1   142.0
    1992       2   157.0
    1992       3   105.1
    1992       4    97.1
    1992       5    68.5
    1992       6    69.6
    1992       7    84.3
    1992       8    67.6
    1992       9    66.0
    1992      10    93.3
    1992      11    89.1
    1992      12    85.0
    1993       1    61.7
    1993       2    90.1
    1993       3    72.5
    1993       4    65.7
    1993       5    54.9
    1993       6    49.5
    1993       7    57.4
    1993       8    42.7
    1993       9    23.1
    1993      10    51.2
    1993      11    35.6
    1993      12    52.0
    1994       1    59.7
    1994       2    40.4
    1994       3    36.5
    1994       4    17.7
    1994       5    19.9
    1994       6    27.0
    1994       7    33.8
    1994       8    23.5
    1994       9    26.3
    1994      10    43.7
    1994      11    18.6
    1994      12    24.7
    1995       1    23.9
    1995       2    32.0
    1995       3    32.8
    1995       4    15.3
    1995       5    14.8
    1995       6    17.0
    1995       7    14.9
    1995       8    15.1
    1995       9    12.5
    1995      10    20.3
    1995      11    10.6
    1995      12    10.0
    1996       1    10.9
    1996       2     5.9
    1996       3     8.3
    1996       4     5.4
    1996       5     6.3
    1996       6    11.6
    1996       7     8.1
    1996       8    13.2
    1996       9     1.8
    1996      10     1.2
    1996      11    16.1
    1996      12    12.0
    1997       1     5.5
    1997       2     7.9
    1997       3     7.9
    1997       4    15.8
    1997       5    17.8
    1997       6    13.8
    1997       7     7.7
    1997       8    23.8
    1997       9    43.9
    1997      10    22.6
    1997      11    37.7
    1997      12    38.9
    1998       1    31.2
    1998       2    34.6
    1998       3    58.0
    1998       4    48.8
    1998       5    54.7
    1998       6    60.4
    1998       7    66.3
    1998       8    88.6
    1998       9    92.3
    1998      10    48.9
    1998      11    68.8
    1998      12    86.4
    1999       1    59.6
    1999       2    67.0
    1999       3    66.6
    1999       4    65.2
    1999       5   101.6
    1999       6   142.1
    1999       7   122.9
    1999       8    98.0
    1999       9    77.5
    1999      10   121.8
    1999      11   143.0
    1999      12    86.5
    2000       1    93.6
    2000       2   113.8
    2000       3   148.6
    2000       4   134.9
    2000       5   115.7
    2000       6   139.8
    2000       7   175.0
    2000       8   126.8
    2000       9   116.5
    2000      10   102.0
    2000      11   112.0
    2000      12   101.2
    2001       1   102.6
    2001       2    87.5
    2001       3   126.1
    2001       4   120.6
    2001       5   101.6
    2001       6   148.4
    2001       7    86.5
    2001       8   117.1
    2001       9   173.3
    2001      10   139.5
    2001      11   124.2
    2001      12   151.5
    2002       1   120.0
    2002       2   114.0
    2002       3    96.0
    2002       4   125.8
    2002       5   129.1
    2002       6    86.7
    2002       7   108.2
    2002       8   117.7
    2002       9   126.2
    2002      10   103.5
    2002      11    98.7
    2002      12    87.7
    2003       1    85.3
    2003       2    51.3
    2003       3    66.1
    2003       4    64.4
    2003       5    55.1
    2003       6    78.2
    2003       7    83.2
    2003       8    75.5
    2003       9    51.5
    2003      10    70.0
    2003      11    60.9
    2003      12    47.6
    2004       1    39.4
    2004       2    50.0
    2004       3    50.8
    2004       4    37.9
    2004       5    47.4
    2004       6    41.9
    2004       7    55.9
    2004       8    48.5
    2004       9    32.8
    2004      10    49.7
    2004      11    46.7
    2004      12    18.9
    2005       1    31.5
    2005       2    28.3
    2005       3    24.5
    2005       4    24.9
    2005       5    39.7
    2005       6    38.7
    2005       7    42.9
    2005       8    39.2
    2005       9    24.8
    2005      10     8.9
    2005      11    18.7
    2005      12    50.3
    2006       1    15.1
    2006       2     3.0
    2006       3     9.9
    2006       4    32.2
    2006       5    22.6
    2006       6    14.7
    2006       7    13.9
    2006       8    13.3
    2006       9    14.7
    2006      10     9.6
    2006      11    21.5
    2006      12    13.5
    2007       1    19.5
    2007       2    11.2
    2007       3     3.7
    2007       5    12.5
    2007       6    12.8
    2007       7    10.1
    2007       8     6.5
    2007       9     2.8
    2007      10     0.9
    2007      11     1.0
    2007      12    10.6
    2008       1     2.3
    2008       2     1.6
    2008       3     9.8
    2008       4     2.2
    2008       5     2.5
    2008       6     3.0
    2008       7     0.4
    2008       8     0.2
    2008       9     0.5
    2008      10     2.4
    2008      11     3.6
    2008      12     0.5
    2009       1     1.3
    2009       2     0.7
    2009       3     0.3
    2009       4     0.4
    2009       5     1.6
    2009       6     3.2
    2009       7     3.6
    2009       8     0.0
    2009       9     4.5
    2009      10     4.5
    2009      11     3.3
    2009      12    10.4
    2010       1    13.3
    2010       2    19.4
    2010       3    15.4
    2010       4     7.0
    2010       5     8.4
    2010       6    11.0
    2010       7    15.2
    2010       8    18.3
    2010       9    22.8
    2010      10    21.0
    2010      11    20.9
    2010      12    13.9
    2011       1    17.7
    2011       2    29.1
    2011       3    48.0
    2011       4    47.3
    2011       5    37.3
    2011       6    35.2
    2011       7    41.5
    2011       8    42.4
    2011       9    73.8
    2011      10    78.9
    2011      11    84.6
    2011      12    65.8
    2012       1    55.8
    2012       2    29.2
    2012       3    53.1
    2012       4    51.4
    2012       5    61.8
    2012       6    59.7
    2012       7    64.2
    2012       8    57.7
    2012       9    57.7
    2012      10    48.3
    2012      11    56.7
    2012      12    37.4
    2013       1    63.8
    2013       2    37.8
    2013       3    50.6
    2013       4    70.6
    2013       5    77.4
    2013       6    51.0
    2013       7    57.0
    2013       8    60.0
    2013       9    34.6
    2013      10    74.5
    2013      11    73.9
    2013      12    77.8
    2014       1    77.4
    2014       2    93.9
    2014       3    80.9
    2014       4    76.9
    2014       5    72.3
    2014       6    67.2
    2014       7    72.5
    2014       8    71.2
    2014       9    83.2
    2014      10    59.5
    2014      11    65.7
    2014      12    75.7
    2015       1    65.9
    2015       2    42.4
    2015       3    37.4
    2015       4    49.1
    2015       5    56.3
    2015       6    50.2
    2015       7    48.0
    2015       8    39.5
    2015       9    49.3
    2015      10    39.3
    2015      11    39.7
    2015      12    36.3
    2016       1    33.7
    2016       2    38.4
    2016       3    30.5
    2016       4    26.6
    2016       5    33.7
    2016       6    13.1
    2016       7    21.3
    2016       8    33.0
    2016       9    27.7
    2016      10    22.8
    2016      11    14.0
    2016      12    11.0
    2017       1    18.4
    2017       2    14.4
    2017       3    11.3
    2017       4    21.5
    2017       5    12.5
    2017       6    15.0

